session_id,unit_id,station,channel,t_global,method,estimate,confidence
0,1,4,torque,201.22,temporal,51.0716,0.25333015781701446
0,2,4,torque,275.05,temporal,51.0716,0.2529605689627365
0,3,4,torque,329.23,temporal,51.0716,0.25259205693981535
0,4,4,torque,387.44,temporal,51.0716,0.252224617048925
0,5,4,torque,438.53,temporal,51.0716,0.25185824461804396
0,6,4,torque,484.34,temporal,51.0716,0.2514929350022569
0,7,4,torque,541.59,temporal,51.0716,0.25112868358355844
0,8,4,torque,593.49,temporal,51.0716,0.25076548577065866
0,9,4,torque,657.83,temporal,51.0716,0.2504033369987901
0,10,4,torque,714.42,temporal,51.0716,0.25004223272951637
0,11,4,torque,765.15,temporal,51.0716,0.2496821684505429
0,12,4,torque,831.36,temporal,51.0716,0.24932313967552888
0,13,4,torque,883.47,temporal,51.0716,0.24896514194390057
0,14,4,torque,926.89,temporal,51.0716,0.24860817082066722
0,15,4,torque,978.7,temporal,51.0716,0.2482522218962372
0,16,4,torque,1044.81,temporal,51.0716,0.24789729078623718
0,17,4,torque,1099.52,temporal,51.0716,0.397403955358109
0,18,4,torque,1152.68,temporal,51.0716,0.3891378520181946
0,19,4,torque,1217.56,temporal,51.0716,0.37584738845877047
0,20,4,torque,1283.33,temporal,51.0716,0.3584926527317934
0,21,4,torque,1340.17,temporal,51.0716,0.3388633175726025
0,22,4,torque,1401.9,temporal,51.0716,0.31763886776216066
0,23,4,torque,1453.1,temporal,51.0716,0.296301095165556
0,24,4,torque,1514.17,temporal,51.0716,0.27496074511315727
0,25,4,torque,1575.22,temporal,51.0716,0.25419225757847996
0,26,4,torque,1622.25,temporal,51.0716,0.234835415026778
0,27,4,torque,1674.17,temporal,51.0716,0.21680136207921713
0,28,4,torque,1699.61,temporal,51.0716,0.20074657540348403
0,29,4,torque,1739.19,temporal,51.0716,0.18611159947703024
0,30,4,torque,1793.57,temporal,51.0716,0.1725268730364804
0,31,4,torque,1841.01,temporal,51.0716,0.16008613334140118
0,32,4,torque,1891.05,temporal,51.0716,0.14867819192156914
0,33,4,torque,1951.92,temporal,51.0716,0.1381150453406826
0,34,4,torque,2010.51,temporal,51.0716,0.12839382139033667
0,35,4,torque,2090.46,temporal,51.0716,0.11929127139368947
0,36,4,torque,2166.85,temporal,51.0716,0.11084992028913573
0,37,4,torque,2235.26,temporal,51.0716,0.10310315433512049
0,38,4,torque,2314.85,temporal,51.0716,0.09594401525334374
0,39,4,torque,2371.85,temporal,51.0716,0.0894507213708872
0,40,4,torque,2444.38,temporal,51.0716,0.08348802757842141
0,41,4,torque,2523.29,temporal,51.0716,0.07799276953466414
0,42,4,torque,2598.04,temporal,51.0716,0.07294611819525856
0,43,4,torque,2667.16,temporal,51.0716,0.0683262655054521
0,44,4,torque,2734.89,temporal,51.0716,0.0640958499777588
0,45,4,torque,2789.49,temporal,51.0716,0.06024423720041851
0,46,4,torque,2840.07,temporal,51.0716,0.05673522776444576
0,47,4,torque,2913.19,temporal,51.0716,0.05349155442197366
0,48,4,torque,2993.11,temporal,51.0716,0.05048098432915126
0,49,4,torque,3057.15,temporal,51.0716,0.04770702567918081
0,50,4,torque,3115.44,temporal,51.0716,0.045153402735943406
0,51,4,torque,3196.62,temporal,51.0716,0.04277343513024435
0,52,4,torque,3294.66,temporal,51.0716,0.040538658599977115
0,53,4,torque,3374.28,temporal,51.0716,0.03845777142878467
0,54,4,torque,3435.85,temporal,51.0716,0.03653262758845679
0,55,4,torque,3511.97,temporal,51.0716,0.03473797769870399
0,56,4,torque,3592.9,temporal,51.0716,0.03306030008349298
0,57,4,torque,3647.03,temporal,51.0716,0.031506184856350386
0,58,4,torque,3704.7,temporal,51.0716,0.03006153522647512
0,59,4,torque,3756.45,temporal,51.0716,0.02871892234526528
0,60,4,torque,3842.42,temporal,51.0716,0.027453688864450074
0,61,4,torque,3918.35,temporal,51.0716,0.02626498830225301
0,62,4,torque,3966.01,temporal,51.0716,0.025157544472301795
0,63,4,torque,4036.54,temporal,51.0716,0.02411603087067544
