session_id,t,station,state,buffer_in,buffer_out,t_global
0,201.22,3,STARVED,0,0,201.22
0,201.22,4,WORKING,0,0,201.22
0,220.01,0,WORKING,3,1,220.01
0,229.17,2,STARVED,0,0,229.17
0,229.17,3,WORKING,0,0,229.17
0,243.02,2,WORKING,0,0,243.02
0,243.02,1,WORKING,0,0,243.02
0,267.87,4,STARVED,0,0,267.87
0,267.87,5,WORKING,0,0,267.87
0,275.05,3,STARVED,0,0,275.05
0,275.05,4,WORKING,0,0,275.05
0,280.75,0,WORKING,3,1,280.75
0,287.23,2,STARVED,0,0,287.23
0,287.23,3,WORKING,0,0,287.23
0,295.15,2,WORKING,0,0,295.15
0,295.15,1,WORKING,0,0,295.15
0,321.52,5,STARVED,0,0,321.52
0,321.52,6,WORKING,0,0,321.52
0,326.81,4,STARVED,0,0,326.81
0,326.81,5,WORKING,0,0,326.81
0,329.23,3,STARVED,0,0,329.23
0,329.23,4,WORKING,0,0,329.23
0,330.73,0,WORKING,3,1,330.73
0,341.7,2,STARVED,0,0,341.7
0,341.7,3,WORKING,0,0,341.7
0,342.11,2,WORKING,0,0,342.11
0,342.11,1,WORKING,0,0,342.11
0,378.15,2,STARVED,0,1,378.15
0,378.86,5,STARVED,0,1,378.86
0,382.78,0,WORKING,3,1,382.78
0,384.12,4,STARVED,0,0,384.12
0,384.12,5,WORKING,0,1,384.12
0,384.56,2,WORKING,0,1,384.56
0,384.56,1,WORKING,0,0,384.56
0,387.44,4,WORKING,0,0,387.44
0,387.44,3,WORKING,0,0,387.44
0,392.33,7,WORKING,0,0,392.33
0,392.33,6,WORKING,0,0,392.33
0,430.62,1,STARVED,0,1,430.62
0,431.27,3,STARVED,0,1,431.27
0,432.76,1,WORKING,0,1,432.76
0,432.76,0,WORKING,3,0,432.76
0,435.15,3,WORKING,0,1,435.15
0,435.15,2,WORKING,0,0,435.15
0,437.16,5,STARVED,0,1,437.16
0,438.53,5,WORKING,0,1,438.53
0,438.53,4,WORKING,0,0,438.53
0,446.15,7,STARVED,0,0,446.15
0,446.15,8,WORKING,0,0,446.15
0,450.96,7,WORKING,0,0,450.96
0,450.96,6,WORKING,0,0,450.96
0,474.03,3,STARVED,0,1,474.03
0,478.13,0,WORKING,3,1,478.13
0,484.34,4,WORKING,0,1,484.34
0,487.14,8,STARVED,0,0,487.14
0,487.14,9,WORKING,0,0,487.14
0,488.68,1,WORKING,0,1,488.68
0,493.47,3,WORKING,0,0,493.47
0,493.47,2,WORKING,0,0,493.47
0,500.43,5,WORKING,0,1,500.43
0,505.48,7,STARVED,0,0,505.48
0,505.48,8,WORKING,0,0,505.48
0,520.81,7,WORKING,0,0,520.81
0,520.81,6,WORKING,0,0,520.81
0,525.04,9,STARVED,0,0,525.04
0,525.04,10,WORKING,0,0,525.04
0,537.37,3,STARVED,0,1,537.37
0,538.07,0,WORKING,3,1,538.07
0,540.97,5,STARVED,0,1,540.97
0,541.59,5,WORKING,0,1,541.59
0,541.59,4,WORKING,0,0,541.59
0,545.15,8,STARVED,0,0,545.15
0,545.15,9,WORKING,0,0,545.15
0,549.53,2,STARVED,0,0,549.53
0,549.53,3,WORKING,0,0,549.53
0,550.58,2,WORKING,0,0,550.58
0,550.58,1,WORKING,0,0,550.58
0,561.54,7,STARVED,0,0,561.54
0,561.54,8,WORKING,0,0,561.54
0,573.02,10,STARVED,0,0,573.02
0,573.02,11,WORKING,0,0,573.02
0,587.18,5,STARVED,0,2,587.18
0,588.19,0,WORKING,3,1,588.19
0,590.64,3,STARVED,0,1,590.64
0,593.49,5,WORKING,0,2,593.49
0,593.49,4,WORKING,0,0,593.49
0,593.6,7,WORKING,0,0,593.6
0,593.6,6,WORKING,1,0,593.6
0,594.01,9,STARVED,0,0,594.01
0,594.01,10,WORKING,0,0,594.01
0,596.21,2,STARVED,0,0,596.21
0,596.21,3,WORKING,0,0,596.21
0,606.26,2,WORKING,0,0,606.26
0,606.26,1,WORKING,0,0,606.26
0,606.38,8,STARVED,0,0,606.38
0,606.38,9,WORKING,0,0,606.38
0,624.03,11,STARVED,0,0,624.03
0,631.74,5,STARVED,0,2,631.74
0,632.16,7,STARVED,0,0,632.16
0,632.16,8,WORKING,0,0,632.16
0,638.68,3,STARVED,0,1,638.68
0,643.99,0,WORKING,3,1,643.99
0,644.53,10,STARVED,0,0,644.53
0,644.53,11,WORKING,0,0,644.53
0,646.37,2,STARVED,0,0,646.37
0,646.37,3,WORKING,0,1,646.37
0,654.54,9,STARVED,0,0,654.54
0,654.54,10,WORKING,0,0,654.54
0,655.59,2,WORKING,0,0,655.59
0,655.59,1,WORKING,0,0,655.59
0,657.83,5,WORKING,0,2,657.83
0,657.83,4,WORKING,0,0,657.83
0,684.97,7,WORKING,0,0,684.97
0,684.97,6,WORKING,1,0,684.97
0,686.54,11,STARVED,0,0,686.54
0,688.91,8,STARVED,0,0,688.91
0,688.91,9,WORKING,0,0,688.91
0,689.94,0,WORKING,3,1,689.94
0,692.46,3,STARVED,0,1,692.46
0,700.87,2,STARVED,0,0,700.87
0,700.87,3,WORKING,0,1,700.87
0,708.45,2,WORKING,0,0,708.45
0,708.45,1,WORKING,0,0,708.45
0,712.4,10,STARVED,0,0,712.4
0,712.4,11,WORKING,0,0,712.4
0,714.42,4,WORKING,0,1,714.42
0,725.06,5,WORKING,0,2,725.06
0,725.99,7,STARVED,0,0,725.99
0,725.99,8,WORKING,0,0,725.99
0,729.05,9,STARVED,0,0,729.05
0,729.05,10,WORKING,0,0,729.05
0,739.19,0,WORKING,3,1,739.19
0,750.06,3,STARVED,0,1,750.06
0,758.95,2,STARVED,0,0,758.95
0,758.95,3,WORKING,0,1,758.95
0,764.09,7,WORKING,0,0,764.09
0,764.09,6,WORKING,1,0,764.09
0,765.15,4,WORKING,0,1,765.15
0,765.64,11,STARVED,0,0,765.64
0,766.47,8,STARVED,0,0,766.47
0,766.47,9,WORKING,0,0,766.47
0,773.71,2,WORKING,0,0,773.71
0,773.71,1,WORKING,0,0,773.71
0,781.29,10,STARVED,0,0,781.29
0,781.29,11,WORKING,0,0,781.29
0,782.66,5,WORKING,0,2,782.66
0,790.07,0,WORKING,3,1,790.07
0,808.02,3,STARVED,0,1,808.02
0,810.9,9,STARVED,0,0,810.9
0,810.9,10,WORKING,0,0,810.9
0,814.11,7,STARVED,0,0,814.11
0,814.11,8,WORKING,0,0,814.11
0,823.1,2,STARVED,0,0,823.1
0,823.1,3,WORKING,0,1,823.1
0,824.73,5,STARVED,0,3,824.73
0,829.4,11,STARVED,0,0,829.4
0,829.54,2,WORKING,0,0,829.54
0,829.54,1,WORKING,0,0,829.54
0,831.36,5,WORKING,0,3,831.36
0,831.36,4,WORKING,0,0,831.36
0,845.12,7,WORKING,0,0,845.12
0,845.12,6,WORKING,2,0,845.12
0,847.36,0,WORKING,3,1,847.36
0,850.48,8,STARVED,0,0,850.48
0,850.48,9,WORKING,0,0,850.48
0,864.69,10,STARVED,0,0,864.69
0,864.69,11,WORKING,0,0,864.69
0,870.32,5,STARVED,0,3,870.32
0,872.31,2,STARVED,0,1,872.31
0,872.79,3,WORKING,0,1,872.79
0,883.47,5,WORKING,0,3,883.47
0,883.47,4,WORKING,0,0,883.47
0,885.24,2,WORKING,0,0,885.24
0,885.24,1,WORKING,0,0,885.24
0,895.54,7,STARVED,0,0,895.54
0,895.54,8,WORKING,0,0,895.54
0,903.33,0,WORKING,3,1,903.33
0,905.09,9,STARVED,0,0,905.09
0,905.09,10,WORKING,0,0,905.09
0,909.9,11,STARVED,0,0,909.9
0,912.28,7,WORKING,0,0,912.28
0,912.28,6,WORKING,2,0,912.28
0,914.2,3,STARVED,0,1,914.2
0,926.89,4,WORKING,0,1,926.89
0,929.67,2,STARVED,0,0,929.67
