session_id,unit_id,response,defect_occurred_at,defect_caught_at,S0_humidity,S0_pressure,S0_temperature,S0_torque,S0_vibration,S1_humidity,S1_pressure,S1_temperature,S1_torque,S1_vibration,S2_humidity,S2_pressure,S2_temperature,S2_torque,S2_vibration,S3_humidity,S3_pressure,S3_temperature,S3_torque,S3_vibration,S5_humidity,S5_pressure,S5_temperature,S5_torque,S5_vibration,S6_humidity,S6_pressure,S6_temperature,S6_torque,S6_vibration,S7_humidity,S7_pressure,S7_temperature,S7_torque,S7_vibration,S8_humidity,S8_pressure,S8_temperature,S8_torque,S8_vibration,S10_humidity,S10_pressure,S10_temperature,S10_torque,S10_vibration,S11_humidity,S11_pressure,S11_temperature,S11_torque,S11_vibration
0,1,0,,,,,,,,,,,,,,,,,,,,,,,47.0992,32.6815,71.6303,49.7562,0.2341,45.4206,30.5421,73.1961,51.5004,0.2064,43.3735,29.8713,71.0776,52.5487,0.1873,44.6578,28.9868,71.4428,48.232,0.2047,42.4461,31.2567,72.7971,48.4792,0.188,46.0035,26.7216,70.8236,51.9866,0.2829
0,2,0,,,,,,,,,,,,,,,,,,44.6964,36.1958,70.8808,49.6624,0.1884,47.1415,31.8902,72.5105,47.6248,0.1807,44.6309,27.2176,72.657,49.1379,0.2921,43.6147,29.107,71.7916,52.9152,0.1652,44.6942,29.8499,66.5426,48.83,0.1752,43.2979,28.8418,67.2353,49.1297,0.2037,46.556,28.4336,69.834,48.5581,0.1932
0,3,0,,,,,,,,,,,,,46.1797,28.6801,68.4199,50.9055,0.2401,45.4973,25.9959,70.0476,51.5207,0.1552,47.2,29.55,71.3652,49.3565,0.2125,44.3598,33.4883,71.6464,48.9301,0.1841,42.849,29.4214,68.935,49.7065,0.2102,45.7255,31.367,67.8956,49.0841,0.2162,44.6517,27.5788,70.7226,49.4757,0.1374,47.9808,30.6513,70.8121,50.8517,0.1624
0,4,0,,,,,,,,43.4638,30.9438,70.6102,48.6874,0.2372,45.599,31.8335,71.769,49.8416,0.2252,45.2372,31.4044,68.0056,50.8253,0.2026,48.2837,29.4949,69.8345,50.459,0.2095,43.3684,31.383,72.0083,51.6974,0.1675,42.7324,31.3123,71.9323,48.3423,0.1955,45.9932,31.808,68.655,50.4787,0.1866,44.9397,29.2329,71.5373,48.835,0.168,47.5297,26.8717,72.2104,50.7486,0.2027
0,5,0,,,45.9614,33.52,71.5366,48.0554,0.2118,45.083,30.5245,71.6638,51.4229,0.1947,45.2843,30.8135,68.4527,49.0971,0.2046,45.5642,27.8804,72.8652,50.8449,0.1837,47.3455,29.6646,68.1341,48.2936,0.1947,43.5659,26.3631,70.4839,48.1668,0.2188,43.9252,28.2342,65.6431,49.5284,0.1885,46.1598,30.8233,72.7399,47.8957,0.2033,45.0184,29.956,71.7373,48.9963,0.2014,46.3667,26.1846,73.7612,50.9015,0.2185
0,6,0,,,45.8805,27.9399,74.207,49.389,0.163,45.0281,30.9325,70.6368,49.207,0.2495,44.9999,31.0696,70.3962,50.1038,0.2325,45.7865,30.9576,69.9821,53.0244,0.2454,47.581,27.458,67.8482,50.4885,0.2299,43.7254,28.3211,65.1691,50.1694,0.1555,44.4902,28.3459,70.5727,48.2223,0.2191,44.9229,27.6916,68.3364,48.9098,0.2013,46.6586,31.548,71.7422,50.6212,0.1807,45.4831,32.9351,71.0232,50.0775,0.1758
0,7,0,,,44.9982,30.6701,68.8269,48.214,0.1794,44.7212,29.8861,69.6121,50.2614,0.228,44.6174,26.9215,70.5368,49.0245,0.2589,45.2683,29.6812,69.8013,49.7674,0.2265,48.3426,29.3917,67.7397,48.6973,0.1895,44.6332,29.9862,70.7255,51.6304,0.1511,43.5109,28.6815,69.2456,49.2388,0.191,46.4421,29.5613,70.7786,51.3998,0.2273,46.2229,28.8325,68.5204,51.3194,0.219,44.6644,30.5208,67.1705,49.8791,0.1818
0,8,0,,,46.7085,32.2181,73.9995,49.7008,0.2179,46.2624,28.5164,72.7896,50.0834,0.2142,43.3701,27.5815,74.7144,48.1018,0.2494,46.2533,28.4621,68.2907,50.5599,0.1945,49.495,29.8064,71.4926,49.5806,0.1969,45.207,31.6339,67.7216,51.1254,0.1961,43.9873,33.214,69.844,50.1829,0.2087,45.5722,31.0006,70.8623,49.6138,0.175,46.9595,28.3555,68.1542,50.6853,0.1589,45.8315,30.6701,71.761,51.8074,0.1746
0,9,0,,,47.1358,32.9886,69.6313,51.5048,0.2113,45.7027,35.7675,69.1024,48.2389,0.194,44.5916,28.2677,69.2872,50.7017,0.2124,47.8175,29.5457,71.3987,49.9681,0.1943,48.7075,32.9023,68.9077,49.0568,0.2209,43.7989,29.3181,70.9873,50.3419,0.2824,43.6546,31.8869,73.2107,51.8708,0.2121,44.858,32.6201,68.1636,50.3811,0.228,46.6769,30.4448,68.0044,48.8947,0.2175,44.5284,31.9394,67.8122,49.9995,0.2006
0,10,0,,,46.7475,30.0163,69.6449,47.5451,0.2219,46.2762,27.4439,67.1486,52.9841,0.196,45.4483,28.0044,71.0866,51.595,0.213,48.2845,24.116,71.0584,49.1368,0.1862,47.1089,34.5847,69.7916,48.7026,0.1966,43.4293,29.762,68.7963,48.8066,0.2208,45.1153,28.7734,68.5794,47.8212,0.2454,43.8977,34.6245,69.4163,50.3392,0.2062,45.2758,30.041,74.9124,51.1251,0.2428,45.2727,31.7528,73.0672,49.6907,0.1839
