session_id,t,station,channel,value,t_global
0,200.0,0,torque,50.7347,200.0
0,200.0,0,vibration,0.2033,200.0
0,200.0,0,temperature,67.7984,200.0
0,200.0,0,pressure,31.0469,200.0
0,200.0,0,humidity,44.9726,200.0
0,200.0,1,torque,49.7424,200.0
0,200.0,1,vibration,0.1892,200.0
0,200.0,1,temperature,71.7233,200.0
0,200.0,1,pressure,29.2801,200.0
0,200.0,1,humidity,42.921,200.0
0,200.0,2,torque,49.3478,200.0
0,200.0,2,vibration,0.227,200.0
0,200.0,2,temperature,70.5573,200.0
0,200.0,2,pressure,30.3344,200.0
0,200.0,2,humidity,46.3082,200.0
0,200.0,3,torque,49.2878,200.0
0,200.0,3,vibration,0.2129,200.0
0,200.0,3,temperature,68.828,200.0
0,200.0,3,pressure,33.8557,200.0
0,200.0,3,humidity,44.4942,200.0
0,200.0,5,torque,48.5469,200.0
0,200.0,5,vibration,0.2131,200.0
0,200.0,5,temperature,67.7916,200.0
0,200.0,5,pressure,31.3121,200.0
0,200.0,5,humidity,46.5588,200.0
0,200.0,6,torque,49.4913,200.0
0,200.0,6,vibration,0.2794,200.0
0,200.0,6,temperature,67.6617,200.0
0,200.0,6,pressure,28.8074,200.0
0,200.0,6,humidity,44.6762,200.0
0,200.0,7,torque,50.1118,200.0
0,200.0,7,vibration,0.2116,200.0
0,200.0,7,temperature,72.715,200.0
0,200.0,7,pressure,28.1462,200.0
0,200.0,7,humidity,42.025,200.0
0,200.0,8,torque,50.5845,200.0
0,200.0,8,vibration,0.2521,200.0
0,200.0,8,temperature,67.4758,200.0
0,200.0,8,pressure,31.9,200.0
0,200.0,8,humidity,45.9859,200.0
0,200.0,10,torque,51.3354,200.0
0,200.0,10,vibration,0.228,200.0
0,200.0,10,temperature,66.7259,200.0
0,200.0,10,pressure,27.321,200.0
0,200.0,10,humidity,43.7329,200.0
0,200.0,11,torque,52.9103,200.0
0,200.0,11,vibration,0.1959,200.0
0,200.0,11,temperature,66.183,200.0
0,200.0,11,pressure,27.8507,200.0
0,200.0,11,humidity,45.6955,200.0
0,210.0,0,torque,49.954,210.0
0,210.0,0,vibration,0.1959,210.0
0,210.0,0,temperature,68.3005,210.0
0,210.0,0,pressure,28.7331,210.0
0,210.0,0,humidity,45.1922,210.0
0,210.0,1,torque,50.744,210.0
0,210.0,1,vibration,0.2353,210.0
0,210.0,1,temperature,68.1551,210.0
0,210.0,1,pressure,29.4158,210.0
0,210.0,1,humidity,43.0489,210.0
0,210.0,2,torque,50.812,210.0
0,210.0,2,vibration,0.2662,210.0
0,210.0,2,temperature,69.1622,210.0
0,210.0,2,pressure,27.6862,210.0
0,210.0,2,humidity,46.28,210.0
0,210.0,3,torque,49.123,210.0
0,210.0,3,vibration,0.1909,210.0
0,210.0,3,temperature,71.1872,210.0
0,210.0,3,pressure,29.4244,210.0
0,210.0,3,humidity,46.0358,210.0
0,210.0,5,torque,49.8747,210.0
0,210.0,5,vibration,0.1761,210.0
0,210.0,5,temperature,70.3327,210.0
0,210.0,5,pressure,30.9385,210.0
0,210.0,5,humidity,46.3713,210.0
0,210.0,6,torque,49.7919,210.0
0,210.0,6,vibration,0.2072,210.0
0,210.0,6,temperature,73.0091,210.0
0,210.0,6,pressure,30.9029,210.0
0,210.0,6,humidity,45.3812,210.0
0,210.0,7,torque,47.2463,210.0
0,210.0,7,vibration,0.2279,210.0
0,210.0,7,temperature,72.05,210.0
0,210.0,7,pressure,27.8839,210.0
0,210.0,7,humidity,42.1016,210.0
0,210.0,8,torque,51.7637,210.0
0,210.0,8,vibration,0.1704,210.0
0,210.0,8,temperature,70.032,210.0
0,210.0,8,pressure,30.4146,210.0
0,210.0,8,humidity,45.7632,210.0
0,210.0,10,torque,49.8463,210.0
0,210.0,10,vibration,0.1728,210.0
0,210.0,10,temperature,67.7292,210.0
0,210.0,10,pressure,28.9733,210.0
0,210.0,10,humidity,44.6222,210.0
0,210.0,11,torque,50.2132,210.0
0,210.0,11,vibration,0.1449,210.0
0,210.0,11,temperature,72.8247,210.0
0,210.0,11,pressure,29.8901,210.0
0,210.0,11,humidity,46.2512,210.0
0,220.0,0,torque,49.6598,220.0
0,220.0,0,vibration,0.1743,220.0
0,220.0,0,temperature,72.7852,220.0
0,220.0,0,pressure,30.4686,220.0
0,220.0,0,humidity,44.299,220.0
0,220.0,1,torque,49.3934,220.0
0,220.0,1,vibration,0.2284,220.0
0,220.0,1,temperature,68.8139,220.0
0,220.0,1,pressure,29.7591,220.0
0,220.0,1,humidity,44.1666,220.0
0,220.0,2,torque,50.5082,220.0
0,220.0,2,vibration,0.2141,220.0
0,220.0,2,temperature,70.2566,220.0
0,220.0,2,pressure,31.0751,220.0
0,220.0,2,humidity,44.5792,220.0
0,220.0,3,torque,49.0593,220.0
0,220.0,3,vibration,0.2491,220.0
0,220.0,3,temperature,69.6756,220.0
0,220.0,3,pressure,32.7807,220.0
0,220.0,3,humidity,44.3251,220.0
0,220.0,5,torque,50.7935,220.0
0,220.0,5,vibration,0.2414,220.0
0,220.0,5,temperature,72.2276,220.0
